std_train_score,split4_test_score,split0_train_score,rank_test_score,split2_train_score,std_score_time,split4_train_score,split2_test_score,param_solver,mean_fit_time,split3_train_score,param_C,mean_score_time,std_test_score,split1_train_score,split0_test_score,mean_test_score,params,std_fit_time,param_max_iter,split3_test_score,mean_train_score,split1_test_score
0.0,0.5,1.0,1,1.0,0.014557677770547043,1.0,0.5,liblinear,0.0924149513244629,1.0,1,0.008883810043334961,0.0,1.0,0.5,0.5,"{'C': 1, 'max_iter': 1000, 'solver': 'liblinear'}",0.003517367099422228,1000,0.5,1.0,0.5
0.0,0.5,1.0,1,1.0,0.0003341330155035716,1.0,0.5,saga,14.023205137252807,1.0,1,0.002290773391723633,0.0,1.0,0.5,0.5,"{'C': 1, 'max_iter': 1000, 'solver': 'saga'}",2.9405481232540818,1000,0.5,1.0,0.5
0.0,0.5,1.0,1,1.0,5.8801697680855e-05,1.0,0.5,liblinear,0.09055542945861816,1.0,1,0.00163116455078125,0.0,1.0,0.5,0.5,"{'C': 1, 'max_iter': 2000, 'solver': 'liblinear'}",0.004259995005117528,2000,0.5,1.0,0.5
0.0,0.5,1.0,1,1.0,0.0001809521687363392,1.0,0.5,saga,14.597510814666748,1.0,1,0.0021542072296142577,0.0,1.0,0.5,0.5,"{'C': 1, 'max_iter': 2000, 'solver': 'saga'}",4.0989020459004,2000,0.5,1.0,0.5
0.0,0.5,1.0,1,1.0,9.92388975465641e-05,1.0,0.5,liblinear,0.09022297859191894,1.0,1,0.00153656005859375,0.0,1.0,0.5,0.5,"{'C': 1, 'max_iter': 3000, 'solver': 'liblinear'}",0.0028084267407665316,3000,0.5,1.0,0.5
0.0,0.5,1.0,1,1.0,0.0017775890937342378,1.0,0.5,saga,14.595447015762328,1.0,1,0.0030280113220214843,0.0,1.0,0.5,0.5,"{'C': 1, 'max_iter': 3000, 'solver': 'saga'}",4.109280376460632,3000,0.5,1.0,0.5
0.0,0.5,1.0,1,1.0,4.774790258481268e-05,1.0,0.5,liblinear,0.09711461067199707,1.0,10,0.001600933074951172,0.0,1.0,0.5,0.5,"{'C': 10, 'max_iter': 1000, 'solver': 'liblinear'}",0.006233838235834342,1000,0.5,1.0,0.5
0.0,0.5,1.0,1,1.0,0.008272509577307482,1.0,0.5,saga,19.76429376602173,1.0,10,0.006444406509399414,0.0,1.0,0.5,0.5,"{'C': 10, 'max_iter': 1000, 'solver': 'saga'}",0.06920848738321717,1000,0.5,1.0,0.5
0.0,0.5,1.0,1,1.0,0.017055378899686124,1.0,0.5,liblinear,0.16261496543884277,1.0,10,0.01702718734741211,0.0,1.0,0.5,0.5,"{'C': 10, 'max_iter': 2000, 'solver': 'liblinear'}",0.010805638462730938,2000,0.5,1.0,0.5
0.0,0.5,1.0,1,1.0,0.0062498582420015695,1.0,0.5,saga,24.18274302482605,1.0,10,0.008940935134887695,0.0,1.0,0.5,0.5,"{'C': 10, 'max_iter': 2000, 'solver': 'saga'}",1.3261942744023087,2000,0.5,1.0,0.5
