std_train_score,split4_test_score,param_criterion,param_max_depth,rank_test_score,split2_train_score,split3_test_score,std_score_time,split4_train_score,split2_test_score,mean_score_time,mean_fit_time,split3_train_score,split0_train_score,std_test_score,split1_train_score,split0_test_score,mean_test_score,params,std_fit_time,param_n_estimators,mean_train_score,split1_test_score
0.007824624281592594,0.5,entropy,10,1,0.5,0.5,0.0019722618564610808,0.5096153846153846,0.5,0.1251067638397217,0.5245149612426758,0.5196078431372549,0.5,0.0,0.5,0.5,0.5,"{'n_estimators': 25, 'criterion': 'entropy', 'max_depth': 10}",0.8562570168769003,25,0.5058446455505279,0.5
0.004772629662834596,0.5,entropy,10,1,0.5098039215686274,0.5,0.00044386661890037166,0.5096153846153846,0.5,0.1303769588470459,0.12953925132751465,0.5098039215686274,0.5,0.0,0.5,0.5,0.5,"{'n_estimators': 50, 'criterion': 'entropy', 'max_depth': 10}",0.0011509891828137728,50,0.5058446455505279,0.5
0.0,0.5,entropy,10,1,0.5,0.5,0.0008203055230337848,0.5,0.5,0.1447835922241211,0.23101234436035156,0.5,0.5,0.0,0.5,0.5,0.5,"{'n_estimators': 100, 'criterion': 'entropy', 'max_depth': 10}",0.005014363043159397,100,0.5,0.5
0.0,0.5,entropy,10,1,0.5,0.5,0.0006132893603245237,0.5,0.5,0.10783166885375976,0.3583263874053955,0.5,0.5,0.0,0.5,0.5,0.5,"{'n_estimators': 150, 'criterion': 'entropy', 'max_depth': 10}",0.0036775838270055256,150,0.5,0.5
0.014565208751341877,0.5,entropy,21,1,0.6274509803921569,0.5,0.0003897456858130438,0.6442307692307692,0.5,0.12420125007629394,0.11627516746520997,0.6666666666666666,0.6274509803921569,0.0,0.6470588235294118,0.5,0.5,"{'n_estimators': 25, 'criterion': 'entropy', 'max_depth': 21}",0.0009533329901232254,25,0.6425716440422322,0.5
0.027195369027130694,0.5,entropy,21,1,0.6372549019607843,0.5,0.0006974970799221497,0.6153846153846154,0.5,0.13119840621948242,0.15277342796325682,0.6274509803921569,0.5588235294117647,0.0,0.607843137254902,0.5,0.5,"{'n_estimators': 50, 'criterion': 'entropy', 'max_depth': 21}",0.00222469464077516,50,0.6093514328808447,0.5
0.026854546035627393,0.5,entropy,21,1,0.5882352941176471,0.5,0.00169353583788357,0.5480769230769231,0.5,0.14458098411560058,0.28878397941589357,0.5784313725490196,0.5196078431372549,0.0,0.5882352941176471,0.5,0.5,"{'n_estimators': 100, 'criterion': 'entropy', 'max_depth': 21}",0.005351241621677516,100,0.5645173453996983,0.5
0.01453452392958866,0.5,entropy,21,1,0.5686274509803921,0.5,0.0022333920818264435,0.5384615384615384,0.5,0.1068039894104004,0.4564376354217529,0.5588235294117647,0.5294117647058824,0.0,0.5588235294117647,0.5,0.5,"{'n_estimators': 150, 'criterion': 'entropy', 'max_depth': 21}",0.005021292920311805,150,0.5508295625942685,0.5
0.010540817622718645,0.5,entropy,42,1,0.9705882352941176,0.5,0.0002477040943802841,0.9423076923076923,0.5,0.12429265975952149,0.13837451934814454,0.9509803921568627,0.9509803921568627,0.0,0.9411764705882353,0.5,0.5,"{'n_estimators': 25, 'criterion': 'entropy', 'max_depth': 42}",0.002463339201202668,25,0.9512066365007541,0.5
0.009329512575681525,0.5,entropy,42,1,0.9901960784313726,0.5,0.0003718188612034352,0.9615384615384616,0.5,0.1308608055114746,0.18271713256835936,0.9803921568627452,0.9803921568627452,0.0,0.9803921568627452,0.5,0.5,"{'n_estimators': 50, 'criterion': 'entropy', 'max_depth': 42}",0.003384114089139043,50,0.978582202111614,0.5
0.0038461538461538325,0.5,entropy,42,1,1.0,0.5,0.0008084796670934269,0.9903846153846154,0.5,0.1441408157348633,0.34143977165222167,1.0,1.0,0.0,1.0,0.5,0.5,"{'n_estimators': 100, 'criterion': 'entropy', 'max_depth': 42}",0.009606711587314028,100,0.998076923076923,0.5
0.0,0.5,entropy,42,1,1.0,0.5,0.002389876624426426,1.0,0.5,0.10659399032592773,0.5566371440887451,1.0,1.0,0.0,1.0,0.5,0.5,"{'n_estimators': 150, 'criterion': 'entropy', 'max_depth': 42}",0.010697436544588105,150,1.0,0.5
0.007843137254901978,0.5,gini,10,1,0.5,0.5,0.00032085076619284985,0.5,0.5,0.1244685173034668,0.09391522407531738,0.5196078431372549,0.5,0.0,0.5,0.5,0.5,"{'n_estimators': 25, 'criterion': 'gini', 'max_depth': 10}",0.00046164104828201683,25,0.503921568627451,0.5
0.004802921064280724,0.5,gini,10,1,0.5098039215686274,0.5,0.0003022837096434659,0.5,0.5,0.13071126937866212,0.1282367706298828,0.5098039215686274,0.5,0.0,0.5,0.5,0.5,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 10}",0.0021628870319944198,50,0.503921568627451,0.5
0.0,0.5,gini,10,1,0.5,0.5,0.0007320378521153632,0.5,0.5,0.1441798210144043,0.22313299179077148,0.5,0.5,0.0,0.5,0.5,0.5,"{'n_estimators': 100, 'criterion': 'gini', 'max_depth': 10}",0.0018493669310410904,100,0.5,0.5
0.0,0.5,gini,10,1,0.5,0.5,0.0009993976863794639,0.5,0.5,0.10777997970581055,0.3534701824188232,0.5,0.5,0.0,0.5,0.5,0.5,"{'n_estimators': 150, 'criterion': 'gini', 'max_depth': 10}",0.004072612607005465,150,0.5,0.5
0.029425684140975766,0.5,gini,21,1,0.6764705882352942,0.5,0.0003939691509371574,0.6346153846153846,0.5,0.12422399520874024,0.11335763931274415,0.6470588235294118,0.5882352941176471,0.0,0.6176470588235294,0.5,0.5,"{'n_estimators': 25, 'criterion': 'gini', 'max_depth': 21}",0.001358677097839664,25,0.6328054298642535,0.5
0.015777918568069663,0.5,gini,21,1,0.6372549019607843,0.5,0.00017575359944503775,0.625,0.5,0.13135647773742676,0.15149402618408203,0.6372549019607843,0.5980392156862745,0.0,0.607843137254902,0.5,0.5,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 21}",0.0019167455638836588,50,0.621078431372549,0.5
0.016413590125846995,0.5,gini,21,1,0.5980392156862745,0.5,0.0002734826597612144,0.5673076923076923,0.5,0.1447540283203125,0.28106937408447263,0.5588235294117647,0.5490196078431373,0.0,0.5686274509803921,0.5,0.5,"{'n_estimators': 100, 'criterion': 'gini', 'max_depth': 21}",0.007468286553474001,100,0.5683634992458522,0.5
0.010953591345620095,0.5,gini,21,1,0.5882352941176471,0.5,0.0016348755151516497,0.5576923076923077,0.5,0.10606679916381836,0.44847497940063474,0.5686274509803921,0.5588235294117647,0.0,0.5686274509803921,0.5,0.5,"{'n_estimators': 150, 'criterion': 'gini', 'max_depth': 21}",0.00669625092640773,150,0.5684012066365007,0.5
