rank_test_score,split0_train_score,split2_test_score,mean_fit_time,split3_train_score,std_test_score,param_epochs,std_fit_time,std_score_time,params,param_batch_size,param_neurons,std_train_score,split4_test_score,split1_train_score,split2_train_score,split4_train_score,mean_score_time,mean_train_score,split0_test_score,mean_test_score,split3_test_score,param_dropout_rate,split1_test_score
19,1.0,0.5390625,34.75200181007385,1.0,0.07142925144486423,10,67.89441473112636,0.014188457090113743,"{'epochs': 10, 'dropout_rate': 0.2, 'neurons': 88, 'batch_size': 40}",40,88,0.0,0.5561079545454546,1.0,1.0,1.0,0.04950203895568848,1.0,0.3802083333333333,0.502456162161564,0.5725806451612904,0.2,0.46502732240437156
37,1.0,0.5026041666666667,0.9029777526855469,1.0,0.05687715822113786,10,0.05410657986332819,0.015744784301655757,"{'epochs': 10, 'dropout_rate': 0.2, 'neurons': 128, 'batch_size': 40}",40,128,0.0,0.5234375,1.0,1.0,1.0,0.10103335380554199,1.0,0.3880208333333333,0.49051892699739125,0.5564516129032258,0.2,0.4825136612021858
47,1.0,0.4895833333333333,1.0304506301879883,1.0,0.028569365036246765,10,0.07024681077931359,0.01950405796229606,"{'epochs': 10, 'dropout_rate': 0.2, 'neurons': 168, 'batch_size': 40}",40,168,0.0,0.5092329545454546,1.0,1.0,1.0,0.1616074562072754,1.0,0.4296875,0.48459035449968973,0.5046082949308756,0.2,0.4901639344262295
41,1.0,0.5390625,2.246956396102905,1.0,0.05938175231769678,50,0.11612036601943083,0.023401352309195572,"{'epochs': 50, 'dropout_rate': 0.2, 'neurons': 88, 'batch_size': 40}",40,88,0.0,0.5234375,1.0,1.0,1.0,0.24051122665405272,1.0,0.3802083333333333,0.4875409039371132,0.5288018433179724,0.2,0.4666666666666667
53,1.0,0.4739583333333333,2.4114182472229,1.0,0.03791087855923502,50,0.11156929831615148,0.028740734966138118,"{'epochs': 50, 'dropout_rate': 0.2, 'neurons': 128, 'batch_size': 40}",40,128,0.0,0.5078125,1.0,1.0,1.0,0.3010520935058594,1.0,0.4114583333333333,0.48169361626288854,0.5161290322580645,0.2,0.4994535519125683
16,1.0,0.546875,2.5638794898986816,1.0,0.05149675773792304,50,0.09943027670491053,0.024105486157205414,"{'epochs': 50, 'dropout_rate': 0.2, 'neurons': 168, 'batch_size': 40}",40,168,0.0,0.515625,1.0,1.0,1.0,0.364503812789917,1.0,0.421875,0.5047222118543283,0.564516129032258,0.2,0.4748633879781421
54,1.0,0.5598958333333333,1.6735893726348876,1.0,0.07060976653546099,10,0.16420398603219613,0.024180573752519984,"{'epochs': 10, 'dropout_rate': 0.3, 'neurons': 88, 'batch_size': 40}",40,88,0.0,0.515625,1.0,1.0,1.0,0.44200644493103025,1.0,0.3567708333333333,0.47862229596466394,0.5126728110599078,0.3,0.4486338797814207
20,1.0,0.5052083333333333,1.6900548934936523,1.0,0.048835366265685715,10,0.04478691361335368,0.04921836412789209,"{'epochs': 10, 'dropout_rate': 0.3, 'neurons': 128, 'batch_size': 40}",40,128,0.0,0.47017045454545453,1.0,1.0,1.0,0.4819201946258545,1.0,0.4348958333333333,0.5000229851829927,0.5817972350230415,0.3,0.5076502732240438
26,1.0,0.4713541666666667,1.9227499961853027,1.0,0.056182537290261736,10,0.13125839143906415,0.02467093133830428,"{'epochs': 10, 'dropout_rate': 0.3, 'neurons': 168, 'batch_size': 40}",40,168,0.0,0.4715909090909091,1.0,1.0,1.0,0.5307552337646484,1.0,0.4375,0.49456805552492633,0.6013824884792627,0.3,0.4907103825136612
12,1.0,0.53125,3.1229269981384276,1.0,0.05515215678256228,50,0.13435315096170003,0.06900489685130565,"{'epochs': 50, 'dropout_rate': 0.3, 'neurons': 88, 'batch_size': 40}",40,88,0.0,0.546875,1.0,1.0,1.0,0.6358361721038819,1.0,0.40625,0.5105213687610001,0.5610599078341014,0.3,0.5076502732240438
44,1.0,0.5208333333333333,3.4932610034942626,1.0,0.03924740600959444,50,0.15948271241262413,0.049822120651595185,"{'epochs': 50, 'dropout_rate': 0.3, 'neurons': 128, 'batch_size': 40}",40,128,0.0,0.4950284090909091,1.0,1.0,1.0,0.6717418193817138,1.0,0.4140625,0.48672247806734004,0.5207373271889401,0.3,0.4830601092896175
32,1.0,0.4713541666666667,3.5314738273620607,1.0,0.028610746052996964,50,0.10670084654371635,0.06530904099725418,"{'epochs': 50, 'dropout_rate': 0.3, 'neurons': 168, 'batch_size': 40}",40,168,0.0,0.53125,1.0,1.0,1.0,0.7600088119506836,1.0,0.4635416666666667,0.49293973745934433,0.5241935483870968,0.3,0.4748633879781421
9,1.0,0.5078125,2.413744258880615,1.0,0.034336396358359215,10,0.09617630126422665,0.02451605506685045,"{'epochs': 10, 'dropout_rate': 0.4, 'neurons': 88, 'batch_size': 40}",40,88,0.0,0.546875,1.0,1.0,1.0,0.7768529891967774,1.0,0.4479166666666667,0.5116885935996413,0.532258064516129,0.4,0.5240437158469945
7,1.0,0.5703125,2.771051788330078,1.0,0.06278341363162056,10,0.2628627775049237,0.0826256210445272,"{'epochs': 10, 'dropout_rate': 0.4, 'neurons': 128, 'batch_size': 40}",40,128,0.0,0.5511363636363636,1.0,1.0,1.0,0.9252478122711182,1.0,0.3958333333333333,0.516211349724535,0.5483870967741935,0.4,0.5158469945355191
